Train,Test,MSE
many_runs_few_steps_uniform,many_runs_few_steps_uniform,1.6670332443494556e-20
many_runs_few_steps_uniform,single_run_all_steps2,3.683481150373235e-20
many_runs_few_steps_uniform,many_runs_few_steps_irregular,3.8681385592506145e-20
many_runs_few_steps_uniform,single_run_all_steps,5.3617789144550434e-20
single_run_all_steps2,many_runs_few_steps_uniform,1.0935293576750758e-18
single_run_all_steps2,single_run_all_steps2,6.392172681132418e-21
single_run_all_steps2,many_runs_few_steps_irregular,1.186378520277775e-18
single_run_all_steps2,single_run_all_steps,5.941295189261159e-20
many_runs_few_steps_irregular,many_runs_few_steps_uniform,3.610622371161225e-20
many_runs_few_steps_irregular,single_run_all_steps2,3.773578244303879e-20
many_runs_few_steps_irregular,many_runs_few_steps_irregular,1.64795251406333e-20
many_runs_few_steps_irregular,single_run_all_steps,4.406594363931422e-20
single_run_all_steps,many_runs_few_steps_uniform,8.675157486787033e-20
single_run_all_steps,single_run_all_steps2,5.940559773997811e-20
single_run_all_steps,many_runs_few_steps_irregular,8.762224708606774e-20
single_run_all_steps,single_run_all_steps,6.845504411418773e-21
